sent_id,section,sentence,tokens,hmm_oov,pcfg_oov,hmm_accuracy,pcfg_accuracy,pcfg_errors,joint_parsed,joint_logprob,joint_seconds,pipeline_parsed,pipeline_logprob,joint_tree
31,international,The US and Israel launched air strikes on Iran on 28 February.,13,2,2,0.6923,1.0,,1,-96.596,0.05,1,-182.605,(TOP (S (NP (DT The) (NNP US) (CC and) (NNP Israel)) (VP (VBD launched) (NP (NP (NN air) (NNS strikes)) (PP (IN on) (NP (NNP Iran)))) (PP (IN on) (NP (CD 28))) (NP (NNP February))) (. .)))
32,breaking-news,"Foreign investors, however, remained net sellers with an outflow of approximately LKR 62.10 million.",17,3,3,0.8235,0.8824,Foreign:JJ->NNP; LKR:$->CD,1,-107.016,0.074,1,-125.198,"(TOP (S (NP (NNP Foreign) (NNS investors)) (PRN (, ,) (ADVP (RB however)) (, ,)) (VP (VBD remained) (NP (NP (JJ net) (NNS sellers)) (PP (IN with) (NP (DT an) (NN outflow)))) (PP (IN of) (NP (RB approximately) (CD LKR) (CD 62.10) (CD million)))) (. .)))"
33,business-news,"Nevertheless, the yields in this segment remained largely stable.",11,0,0,1.0,1.0,,1,-68.937,0.018,1,-68.937,"(TOP (S (ADVP (RB Nevertheless)) (, ,) (NP (NP (DT the) (NNS yields)) (PP (IN in) (NP (DT this) (NN segment)))) (VP (VBD remained) (ADJP (RB largely) (JJ stable))) (. .)))"
34,breaking-news,The Bills also propose measures to increase judicial capacity at the Provincial High Court level.,16,2,2,0.9375,0.9375,measures:NNS->VBZ,1,-107.085,0.074,1,-111.736,(TOP (S (NP (DT The) (NNS Bills)) (ADVP (RB also)) (VP (VBP propose) (VP (VBZ measures) (S (TO to) (VP (VB increase) (NP (JJ judicial) (NN capacity)) (PP (IN at) (NP (DT the) (NNP Provincial) (NNP High) (NNP Court) (NN level))))))) (. .)))
35,international,"The revised calculation excludes students, making direct comparisons with earlier figures difficult.",14,3,3,0.7857,1.0,,1,-96.682,0.046,1,-184.252,"(TOP (S (NP (DT The) (VBN revised) (NN calculation)) (VP (VBZ excludes) (NP (NNS students)) (, ,) (S (VBG making) (S (NP (NP (JJ direct) (NNS comparisons)) (PP (IN with) (NP (JJR earlier) (NNS figures)))) (ADJP (JJ difficult))))) (. .)))"
36,international,Wellington has also agreed to invest $20 billion in India over the next 15 years.,17,1,1,0.9412,0.9412,invest:VB->VBP,1,-94.673,0.074,1,-139.862,(TOP (S (NP (NNP Wellington)) (VP (VBZ has) (RB also) (VP (VBN agreed) (S (TO to) (VP (VBP invest) (NP (NP ($ $) (CD 20) (CD billion)) (PP (IN in) (NP (NNP India)))) (PP (IN over) (NP (DT the) (JJ next) (CD 15) (NNS years))))))) (. .)))
37,international,The Trump administration is expected to appeal the ruling.,10,0,0,1.0,1.0,,1,-55.42,0.014,1,-55.42,(TOP (S (NP (DT The) (NNP Trump) (NN administration)) (VP (VBZ is) (VP (VBN expected) (S (TO to) (VP (VB appeal) (NP (DT the) (NN ruling)))))) (. .)))
38,business-news,"Vidullanka currently has interests in hydropower, solar and biomass-based electricity generation.",13,4,4,0.7692,0.9231,hydropower:NN->JJ,1,-80.377,0.032,1,-163.21,"(TOP (S (NP (NNP Vidullanka)) (ADVP (RB currently)) (VP (VBZ has) (NP (NP (NNS interests)) (PP (IN in) (NP (ADJP (JJ hydropower) (, ,) (JJ solar) (CC and) (JJ biomass-based)) (NN electricity) (NN generation))))) (. .)))"
39,breaking-news,"Initially, 25 people were charged over their role in the bombings.",13,2,2,0.8462,1.0,,1,-73.868,0.032,1,-82.388,"(TOP (S (ADVP (RB Initially)) (, ,) (NP (CD 25) (NNS people)) (VP (VBD were) (VP (VBN charged) (PP (IN over) (NP (PRP$ their) (NN role))) (PP (IN in) (NP (DT the) (NNS bombings))))) (. .)))"
40,news-features,"The central message is brutally simple: nature does not need us, but we need nature.",18,1,1,0.8889,1.0,,1,-120.072,0.075,1,-151.895,"(TOP (S (S (NP (DT The) (JJ central) (NN message)) (VP (VBZ is) (ADJP (RB brutally) (JJ simple)))) (: :) (S (NP (NN nature)) (VP (VBZ does) (RB not) (VP (VB need) (NP (PRP us))))) (, ,) (CC but) (S (NP (PRP we)) (VP (VBP need) (NP (NN nature)))) (. .)))"
41,opinion,And now we are staring at economic and political developments that signal a dangerous world.,16,3,3,0.875,0.875,that:WDT->IN; signal:VBP->VB,1,-99.37,0.084,1,-144.02,(TOP (S (CC And) (ADVP (RB now)) (NP (PRP we)) (VP (VBP are) (VP (VBG staring) (PP (IN at) (NP (ADJP (JJ economic) (CC and) (JJ political)) (NNS developments))) (SBAR (IN that) (SINV (VB signal) (NP (DT a) (JJ dangerous) (NN world)))))) (. .)))
42,opinion,The failure of his political gamble resulted in a major transition in Lankan political history.,16,3,3,0.875,0.9375,Lankan:JJ->NNP,1,-89.585,0.088,1,-117.339,(TOP (S (NP (NP (DT The) (NN failure)) (PP (IN of) (NP (PRP$ his) (JJ political) (NN gamble)))) (VP (VBD resulted) (PP (IN in) (NP (DT a) (JJ major) (NN transition))) (PP (IN in) (NP (NNP Lankan) (JJ political) (NN history)))) (. .)))
43,opinion,Legitimate criticism or disagreement should not automatically become a criminal matter.,12,2,2,0.8333,0.9167,Legitimate:JJ->NNP,1,-80.353,0.019,1,-132.955,(TOP (S (NP (NNP Legitimate) (NX (NX (NN criticism)) (CC or) (NX (NN disagreement)))) (VP (MD should) (RB not) (ADVP (RB automatically)) (VP (VB become) (NP (DT a) (JJ criminal) (NN matter)))) (. .)))
44,opinion,Such action would also enhance Sri Lanka’s image as an environmentally responsible nation.,15,4,4,0.8,1.0,,1,-89.819,0.051,1,-200.979,(TOP (S (NP (JJ Such) (NN action)) (VP (MD would) (RB also) (VP (VB enhance) (NP (NP (NP (NNP Sri) (NNP Lanka) (POS 's)) (NN image)) (PP (IN as) (NP (DT an) (ADJP (RB environmentally) (JJ responsible)) (NN nation)))))) (. .)))
45,business-news,HR Optimizer was built to be global-ready from day one.,11,3,3,0.6364,1.0,,1,-61.978,0.021,1,-160.826,(TOP (S (NP (NNP HR) (NNP Optimizer)) (VP (VBD was) (VP (VBN built) (S (TO to) (VP (VB be) (ADJP (JJ global-ready) (PP (IN from) (NP (NN day) (CD one)))))))) (. .)))
46,business-news,Pan Asia EZY has been developed with everyday customer behaviour in mind.,13,3,3,0.8462,1.0,,1,-86.411,0.036,1,-94.011,(TOP (S (NP (NNP Pan) (NNP Asia) (NNP EZY)) (VP (VBZ has) (VP (VBN been) (VP (VBN developed) (PP (IN with) (NP (JJ everyday) (NN customer) (NN behaviour))) (PP (IN in) (NP (NN mind)))))) (. .)))
47,business-main,It stood at just 3.4 percent in January.,9,0,0,1.0,1.0,,1,-62.599,0.011,1,-62.599,(TOP (S (NP (PRP It)) (VP (VBD stood) (PP (IN at) (NP (QP (RB just) (CD 3.4)) (NN percent))) (PP (IN in) (NP (NNP January)))) (. .)))
48,business-news,"An improved demand was seen for the Orthodox/Rotovane teas, following quality.",13,2,2,0.9231,1.0,,1,-79.13,0.036,1,-79.877,"(TOP (S (NP (DT An) (VBN improved) (NN demand)) (VP (VBD was) (VP (VBN seen) (PP (IN for) (NP (DT the) (NNP Orthodox/Rotovane) (NNS teas))) (, ,) (S (VBG following) (NP (NN quality))))) (. .)))"
49,breaking-news,John Keells Holdings provided the strongest positive contribution.,9,1,1,1.0,0.8889,Keells:NNP->NNPS,1,-67.31,0.012,1,-67.661,(TOP (S (NP (NNP John) (NNPS Keells) (NNP Holdings)) (VP (VBD provided) (NP (DT the) (ADJP (JJS strongest) (JJ positive)) (NN contribution))) (. .)))
50,international,"Transporting oil through the region remains risky, however.",10,2,2,0.8,0.9,risky:JJ->VB,1,-65.106,0.014,1,-83.504,"(TOP (S (S (VBG Transporting) (NP (NP (NN oil)) (PP (IN through) (NP (DT the) (NN region))))) (VP (VBZ remains) (VP (VB risky) (, ,) (ADVP (RB however)))) (. .)))"
51,international,"Experts caution, however, that China’s actual U.S. Treasury holdings may exceed the officially reported figures.",19,0,0,0.8947,0.9474,caution:VBP->NN,1,-137.191,0.096,1,-153.718,"(TOP (S (NP (NP (NNS Experts)) (NN caution) (PRN (, ,) (ADVP (RB however)) (, ,)) (PP (IN that) (NP (NP (NNP China) (POS 's)) (JJ actual) (NNP U.S.) (NNP Treasury) (NNS holdings)))) (VP (MD may) (VP (VB exceed) (NP (DT the) (ADJP (RB officially) (VBN reported)) (NNS figures)))) (. .)))"
52,international,"The ban was later struck down by the country’s Constitutional Court, however.",15,1,1,0.8,0.8667,later:RB->JJ; struck:VBN->NN,1,-88.277,0.063,1,-92.684,"(TOP (S (NP (DT The) (NN ban)) (VP (VBD was) (NP (JJ later) (NN struck)) (PRT (RP down)) (PP (IN by) (NP (NP (DT the) (NN country) (POS 's)) (NNP Constitutional) (NNP Court))) (, ,) (ADVP (RB however))) (. .)))"
53,international,His death was initially viewed by police through the possibility of suicide.,13,1,1,0.9231,0.9231,suicide:NN->JJ,1,-87.878,0.04,1,-88.184,(TOP (S (NP (PRP$ His) (NN death)) (VP (VBD was) (RB initially) (VP (VBN viewed) (PP (IN by) (NP (NP (NNS police)) (PP (IN through) (NP (DT the) (NN possibility))))) (PP (IN of) (ADJP (JJ suicide))))) (. .)))
54,international,"Iraq, too, is increasing oil exports, its oil minister said on Tuesday.",16,1,1,1.0,1.0,,1,-95.622,0.051,1,-95.622,"(TOP (S (S (NP (NP (NNP Iraq)) (PRN (, ,) (ADVP (RB too)) (, ,))) (VP (VBZ is) (VP (VBG increasing) (NP (NN oil) (NNS exports))))) (, ,) (NP (PRP$ its) (NN oil) (NN minister)) (VP (VBD said) (PP (IN on) (NP (NNP Tuesday)))) (. .)))"
55,international,Iran state TV confirmed that Foreign Minister Abbas Araghchi had met Witkoff.,13,4,4,0.6923,1.0,,1,-91.279,0.046,1,-180.89,(TOP (S (NP (NNP Iran) (NN state) (NN TV)) (VP (VBD confirmed) (SBAR (IN that) (S (NP (NNP Foreign) (NNP Minister) (NNP Abbas) (NNP Araghchi)) (VP (VBD had) (VP (VBN met) (S (NNP Witkoff))))))) (. .)))
56,breaking-news,Lion Brewery was the largest negative contributor.,8,3,3,0.625,1.0,,1,-37.173,0.008,1,-101.207,(TOP (S (NP (NNP Lion) (NNP Brewery)) (VP (VBD was) (NP (DT the) (ADJP (JJS largest) (JJ negative)) (NN contributor))) (. .)))
57,business-news,Both investor participation and market volumes appeared moderate yesterday.,10,1,1,0.9,1.0,,1,-68.745,0.016,1,-98.255,(TOP (S (NP (NP (DT Both) (NN investor) (NN participation)) (CC and) (NN market) (NNS volumes)) (VP (VBD appeared) (NP (JJ moderate) (NN yesterday))) (. .)))
58,international,"The technology sector, in particular, is undergoing changes as companies increasingly adopt AI-powered tools.",17,2,2,0.8824,0.9412,adopt:VBP->VB,1,-115.035,0.08,1,-170.324,"(TOP (S (NP (DT The) (NN technology) (NN sector)) (PRN (, ,) (PP (IN in) (ADJP (JJ particular))) (, ,)) (VP (VBZ is) (S (VBG undergoing) (NP (NP (NNS changes)) (PP (IN as) (NP (NNS companies)))) (ADVP (RB increasingly)) (VP (VB adopt) (NP (JJ AI-powered) (NNS tools))))) (. .)))"
59,international,"New Zealand exporters will receive preferential quota access for apples, kiwifruit and albumins.",15,3,3,0.8667,1.0,,1,-99.725,0.08,1,-150.693,"(TOP (S (NP (NNP New) (NNP Zealand) (NNS exporters)) (VP (MD will) (VP (VB receive) (NP (NP (JJ preferential) (NN quota) (NN access)) (PP (IN for) (NP (NP (NNS apples)) (, ,) (NN kiwifruit) (CC and) (NNS albumins)))))) (. .)))"
60,international,The controversial programme has reached the Supreme Court twice.,10,1,1,0.9,1.0,,1,-63.898,0.039,1,-83.577,(TOP (S (NP (DT The) (JJ controversial) (NN programme)) (VP (VBZ has) (VP (VBN reached) (NP (DT the) (NNP Supreme) (NNP Court)) (ADVP (RB twice)))) (. .)))
61,breaking-news,"After one of the accused died, 24 were indicted in October 2021.",14,2,2,0.7857,0.9286,accused:VBN->VBD,1,-89.589,0.08,1,-144.387,"(TOP (S (SBAR (IN After) (S (NP (NP (CD one)) (PP (IN of) (NP (DT the) (VBD accused)))) (VP (VBD died)))) (, ,) (NP (CD 24)) (VP (VBD were) (VP (VBN indicted) (PP (IN in) (NP (NNP October) (CD 2021))))) (. .)))"
62,news-features,Perhaps we can even be excused for this arrogance.,10,2,2,0.9,1.0,,1,-51.289,0.025,1,-72.855,(TOP (S (ADVP (RB Perhaps)) (NP (PRP we)) (VP (MD can) (RB even) (VP (VB be) (VP (VBN excused) (PP (IN for) (NP (DT this) (NN arrogance)))))) (. .)))
63,opinion,Global trade is precarious with Trump’s arbitrary tariffs over the last year and a half.,17,4,4,0.8824,1.0,,1,-96.269,0.091,1,-139.447,(TOP (S (NP (JJ Global) (NN trade)) (VP (VBZ is) (ADJP (JJ precarious) (PP (IN with) (NP (NP (NNP Trump) (POS 's)) (JJ arbitrary) (NNS tariffs)))) (PP (IN over) (NP (NP (DT the) (JJ last) (NN year)) (CC and) (NP (DT a) (NN half))))) (. .)))
64,opinion,"Great mischief they did him, the often times great loss on their sides.",15,1,1,0.8,0.8667,Great:JJ->NNP; mischief:NN->VBP,1,-100.522,0.05,1,-120.833,"(TOP (S (NP (NNP Great)) (VP (VBP mischief) (SBAR (NP (PRP they)) (VP (VBD did) (NP (PRP him)) (, ,) (NP (NP (NP (DT the) (RB often) (NNS times)) (JJ great) (NN loss)) (PP (IN on) (NP (PRP$ their) (NNS sides))))))) (. .)))"
65,opinion,Protecting the environment is a shared responsibility.,8,1,1,0.75,1.0,,1,-52.387,0.009,1,-92.719,(TOP (S (S (VBG Protecting) (NP (DT the) (NN environment))) (VP (VBZ is) (NP (DT a) (VBN shared) (NN responsibility))) (. .)))
66,business-news,And the standard that governs it needs to hold up anywhere in the world.,15,1,1,0.8667,1.0,,1,-84.988,0.074,1,-117.149,(TOP (S (CC And) (NP (NP (DT the) (NN standard)) (SBAR (WHNP (WDT that)) (S (VBZ governs) (NP (PRP it))))) (VP (VBZ needs) (S (TO to) (VP (VB hold) (PRT (RP up)) (PP (ADVP (RB anywhere)) (IN in) (NP (DT the) (NN world)))))) (. .)))
67,business-news,Getting started has also been simplified.,7,1,1,0.5714,0.8571,started:VBN->VBD,1,-51.329,0.002,1,-115.006,(TOP (S (NP (VBG Getting)) (VP (VBD started) (VP (VBZ has) (RB also) (VP (VBN been) (VP (VBN simplified))))) (. .)))
68,business-main,The composition of inflation also underscores the pressure on the household expenditure.,13,3,3,0.8462,1.0,,1,-67.416,0.048,1,-78.924,(TOP (S (NP (NP (DT The) (NN composition)) (PP (IN of) (NP (NN inflation)))) (ADVP (RB also)) (VP (VBZ underscores) (NP (NP (DT the) (NN pressure)) (PP (IN on) (NP (DT the) (NN household) (NN expenditure))))) (. .)))
69,business-news,The Ex-Estate offerings comprised of 0.7 M/Kgs.,8,3,3,0.5,0.75,Ex-Estate:NNP->JJ; comprised:VBD->VBN,1,-51.207,0.01,1,-169.034,(TOP (NP (NP (DT The) (JJ Ex-Estate) (NNS offerings)) (VP (VBN comprised) (PP (IN of) (NP (CD 0.7) (NNS M/Kgs)))) (. .)))
70,international,These developments may carry indirect implications for South Korean financial markets.,12,2,2,0.8333,0.9167,Korean:JJ->NNP,1,-76.993,0.026,1,-108.708,(TOP (S (NP (DT These) (NNS developments)) (VP (MD may) (VP (VB carry) (NP (NP (JJ indirect) (NNS implications)) (PP (IN for) (NP (NNP South) (NNP Korean) (JJ financial) (NNS markets)))))) (. .)))
